title	first	last	first1	last1	first2	last2	publisher	date	url	archive-url
The Great Enterprise: The Manchu Reconstruction of Imperial Order in Seventeenth-century China	Frederick	E. Wakeman					University of California Press		https://books.google.com/books?id=8nXLwSG2O8AC&pg=PA478
Camera does wonders today: Vyjayanthimala	Dibyojyoti	Baksi						09/21/11	http://indiatoday.intoday.in/story/vyjayanthimala-kumars-khans-bharatanatyam-dancer/1/152150.html
Ulysses S. Grant: New Biography of 'A Nobody From Nowhere'	T. J.	Stiles						10/19/16	https://www.nytimes.com/2016/10/23/books/review/american-ulysses-ronald-c-white.html?_r=0
How to get to Boreham Wood							Arsenal F.C	06/01/17	http://www.arsenal.com/ladies/boreham-wood-directions
Vaporware: Better Late Than Never							Wired News	02/06/06	https://www.wired.com/science/discoveries/news/2006/02/70143?currentPage=3
Busby Babes players honoured in blue plaque scheme	Robert	Downes						05/25/11	http://www.messengernewspapers.co.uk/news/9048125.Sir_Bobby_Charlton_and_Dickie_Bird_to_unveil_Busby_Babes_plaques/
The Last of Us	Will	Perkins					Art of the Title	09/10/13	http://www.artofthetitle.com/title/the-last-of-us/
Swimming at the 1976 Montréal Summer Games: Men's 100 metres Backstroke							Sports Reference		https://www.sports-reference.com/olympics/summer/1976/SWI/mens-100-metres-backstroke.html
Tom Swift Inventors' Academy							Simon & Schuster		http://www.simonandschuster.ca/series/Tom-Swift-Inventors-Academy?intcmp=np_series_link
Antlia	Ian	Ridpath						12/03/07	http://www.ianridpath.com/startales/antlia.htm
Poverty Alleviation and Environmental Law							ElgarOnline		https://books.google.com/books?id=1miIRLRaLEoC&pg=PA290#v=onepage&q&f=false
Inside No 9 actors 'jealous over who was screenwriters' favourite cast member'							Independent.ie	02/13/17	http://www.independent.ie/style/celebrity/celebrity-news/inside-no-9-actors-jealous-over-who-was-screenwriters-favourite-cast-member-35445555.html
100 Greatest Artists	Rolling	Stone					Rolling Stone Music		https://www.rollingstone.com/music/lists/100-greatest-artists-of-all-time-19691231/frank-zappa-20110420
The Merriam-Webster New Book of Word Histories							Merriam-Webster, Inc.		https://books.google.com/?id=IrcZEZ1bOJsC&pg=PA513
Part of camera in newly repaired instrument revived	William	Harwood						05/17/09	http://spaceflightnow.com/shuttle/sts125/090517fd7/index.html
Mitt Romney and the 47 percent: Looking at the facts									http://www.nj.com/njvoices/index.ssf/2012/09/mitt_romney_and_the_47_percent.html?mobRedir=false
Billboard								02/05/00	https://books.google.com/books?id=1A0EAAAAMBAJ&pg=PA88&dq=garbage+the+world+is+not+enough
Officer Training at Britannia Royal Naval College	Nichola	Winstanley					South Devon Magazines	01/01/09	https://www.bythedart.co.uk/things-to-do-in-dartmouth/castles--historic-places/officer-training-at-britannia-royal-naval-college/
TOYING AROUND: DC Comics & Star Wars!	TJ	Dietsch					Comic Book Resources	10/13/13	http://www.comicbookresources.com/?page=article&id=47908
In Darkest Alaska: Travel and Empire Along the Inside Passage	Robert	Campbell					University of Pennsylvania Press		https://books.google.com/books?id=bL1UmxmTcocC
Ejaria signs new LFC deal, joins Rangers on loan	David	Lynch					Liverpool F.C.	06/07/18	https://www.liverpoolfc.com/news/first-team/304170-ovie-ejaria-liverpool-fc-deal-loan-rangers
Sign of the Twins	S.	Muthiah						11/26/03	http://www.hindu.com/mp/2003/11/26/stories/2003112600690300.htm
Lodging & Camping (Summer)							National Park Service	10/01/17	https://www.nps.gov/crla/planyourvisit/upload/Lodging-and-Camping-Summer-508.pdf
Virginia contemplates making play for new Redskins stadium	Michael	Phillips					Richmond Times-Dispatch	08/17/13	http://www.timesdispatch.com/sports/professional/football/redskins/virginia-contemplates-making-play-for-new-redskins-stadium/article_10394059-d05a-5bb8-91d5-a15be072eea3.html
Devolution to Scotland							BBC	11/14/06	http://news.bbc.co.uk/1/hi/programmes/bbc_parliament/2321531.stm
Ideals, Varieties, and Algorithms: An Introduction to Computational Algebraic Geometry and Commutative Algebra	David A.	Cox	John	Little	Donald	O'Shea	Springer-Verlag		https://books.google.com/?id=7eLkq0wQytAC
ELSPA Sales Awards: Double Platinum								05/20/09	https://web.archive.org/web/20090520070249/http://www.elspa.com/?i=3945
The Beginning Or The End	Nathaniel	Thompson					Turner Classic Movies		http://www.tcm.com/tcmdb/title/1531/The-Beginning-or-the-End/articles.html
Who's Who In Harmony							Soapcentral		http://soapcentral.com/ps/whoswho/chad.php
Barton Fink	Roger	Ebert						08/23/91	http://rogerebert.suntimes.com/apps/pbcs.dll/article?AID=/19910823/REVIEWS/108230301/1023
Teammates Recall Jeter's Journey From Minor Leagues to Great Yankee	Jack	Curry						09/12/09	https://www.nytimes.com/2009/09/12/sports/baseball/12jeterteammates.html
The Matrix Drop Long-Lost Album Featuring Katy Perry	Gil	Kaufman					MTV News	01/27/09	http://www.mtv.com/news/1603622/the-matrix-drop-long-lost-album-featuring-katy-perry/
Updates from Azulón at Mesa Verde							Azulón at Mesa Verde	10/4/13	http://www.azulonapts.com/news/updates-from-azulon-at-mesa-verde/
The Australian Cattle Dog FAQ									http://www.cattledog.com/misc/faq.html
First Offensive: The Marine Campaign For Guadalcanal	Henry I.	Shaw, Jr.						07/25/06	http://www.ibiblio.org/hyperwar/USMC/USMC-C-Guadalcanal/index.html
Regulations Amending the Maple Products Regulations							Canada Gazette	12/13/17	http://www.gazette.gc.ca/rp-pr/p1/2014/2014-06-28/html/reg1-eng.html
Family of Aaliyah reportedly plan to block a TV biopic about the late singer	Sean	Michaels						06/19/14	https://www.theguardian.com/music/2014/jun/19/aaliyah-tv-biopic-family-block
Saturn Award Nomination									http://coryedwards.com/?p=15
Angiosperm Phylogeny Website	Peter F.	Stevens						01/29/15	http://www.mobot.org/MOBOT/research/APweb/
Kodava Speech Community: An Ethnolinguistic Study	K.S.	Rajyashree					M. S. Thirumalai	05/06/07	http://www.languageinindia.com/oct2001/kodavarajyashree.html
U2 Unveil Massive 'Achtung Baby' Boxset	William	Goodman						08/04/11	http://www.spin.com/2011/08/u2-unveil-massive-achtung-baby-boxset/
Agrippina by George Frideric Handel performed in Italian							Operadis		http://www.operadis-opera-discography.org.uk/CLHAAGRI.HTM#9
UK General Election results May 1979								05/28/1979	http://www.politicsresources.net/area/uk/ge79/i10.htm
Every Marilyn Manson Album, Ranked From Worst To Best	Alec	Chillingworth					TeamRock.com	11/14/16	http://teamrock.com/feature/2016-11-14/marilyn-manson-albums-ranked-worst-best
Local heroes	Martin	Wainwright					The Guardian	03/24/08	https://www.theguardian.com/media/2008/mar/03/pressandpublishing.abcs
Dueling Fools: Coke Bull	Chuck	Saletta						08/11/08	http://www.fool.com/investing/value/2006/05/11/dueling-fools-coke-bull.aspx
Maniacs Make a Modern Mansion	Jacob	Ogles					Condé Nast	12/23/04	http://archive.wired.com/gaming/gamingreviews/news/2004/12/66109
FBI working new lead in D.B. Cooper hijacking case	Carol	Cratty					CNN	08/01/11	http://www.cnn.com/2011/CRIME/08/01/fbi.db.cooper/
U2: Trying to Throw Their Arms Around the World	Brian	Hiatt					Wenner Media	05/15/15	https://www.rollingstone.com/music/features/u2-trying-to-throw-their-arms-around-the-world-20150515
The Nobel Prize in Literature 1953							The Nobel Foundation		https://www.nobelprize.org/nobel_prizes/literature/laureates/1953/
Seattle's chances for MLS team take a hit	Matt	Massey						04/16/05	http://community.seattletimes.nwsource.com/archive/?date=20050416&slug=sounders16
Cubs Timeline									http://chicago.cubs.mlb.com/chc/history/timeline10.jsp
Spain's Sanchez wins men's road race	Deborah	Charles					Reuters	08/09/08	https://www.reuters.com/article/GCA-Olympics/idUSSP29740320080809
Goal blitz re-ignites Arsenal's campaign	Henry	Winter						11/26/03	https://www.telegraph.co.uk/sport/2425801/Goal-blitz-re-ignites-Arsenals-campaign.html
National League Championship Series: Mets 3, Dodgers 2: Hershiser's View : Pitcher Was Not Tired but Says That Lasorda Was Correct in Taking Him Out	Ross	Newhan						10/05/88	http://articles.latimes.com/1988-10-05/sports/sp-2832_1_national-league-championship-series
Apollo 11 Mission Overview							NASA	03/04/18	https://www.nasa.gov/mission_pages/apollo/missions/apollo11.html
Los Simpsons - Descargar Episodios									http://soporte-tecnico-online.blogspot.mx/2009/01/los-simpsons-descargar-episodios_13.html
Swimming at the 1976 Montréal Summer Games: Men's 200 metres Backstroke							Sports Reference		https://www.sports-reference.com/olympics/summer/1976/SWI/mens-200-metres-backstroke.html
Akinbiyi keeps Stoke up								05/04/03	http://news.bbc.co.uk/sport1/hi/football/eng_div_1/2967967.stm
F. R. Brown: leader of men							John Wisden & Co		http://www.espncricinfo.com/ci/content/story/152944.html
Movie Acting, the Film Reader	Pamela Robertson	Wojcik					Psychology Press		https://books.google.com/books?id=u5qDxCG7gx8C&pg=PA139
Jessica Chastain: the portrayal of women in films is disturbing	Gwilym	Mumford						05/30/17	https://www.theguardian.com/film/2017/may/30/jessica-chastain-women-cannes-disturbing-palme-dor
EU eases sanctions on Belarus — Council of the European Union								02/15/16	http://tass.ru/en/world/856877
Final Fantasy VII Review	Greg	Kasavin					CBS Interactive	01/21/17	http://www.gamespot.com/reviews/final-fantasy-vii-review/1900-2547583/
'Lego Dimensions' Wave 2 Adds Doctor Who World And Hire-able Minifigures	Andy	Robertson						11/03/15	https://www.forbes.com/sites/andyrobertson/2015/11/03/lego-dimensions-wave-2/
Character Design							DeviantArt		http://wewy.deviantart.com/art/Character-Design-82283821
Aaron Sorkin to Teach Online Course on Screenwriting								06/22/16	https://variety.com/2016/digital/news/aaron-sorkin-screenwriting-course-masterclass-1201801431/
'Moonlight' can't draw blood from genre clichés	Mary	McNamara						09/28/07	http://articles.latimes.com/2007/sep/28/entertainment/et-moonlight28
The Youngest Marcher: The Story of Audrey Faye Hendricks, a Young Civil Rights Activist by Cynthia Levinson (review)							Muse.jhu.edu		https://muse.jhu.edu/article/646048
Remembering the Sandy Park six								10/05/10	http://www.jamaicaobserver.com/news/Remembering-the-Sandy-Park-six_8025119
1892 ‑ 1999 Honorary Degree Recipients									https://www.dal.ca/academics/convocation/history_traditions/honorary_degree_recipients/hon_degree_1892_1999.html
The xx: xx	Vadim	Rizov						01/05/10	http://www.avclub.com/review/the-xx-ixxi-36703
Craig Fitzgibbon							Rugby League Project	04/13/09	http://www.rugbyleagueproject.org/players/Craig_Fitzgibbon/summary.html
The Cicadas								12/17/54	http://nla.gov.au/nla.news-article57348320
Multiculturalism and Religious Identity: Canada and India							McGill-Queen's Press		https://books.google.com/books?id=e4NLBAAAQBAJ&pg=PA237
Illustrations of Australian plants collected in 1770 during Captain Cook's voyage round the world in H.M.S. Endeavour							Trustees of the British Museum		https://www.biodiversitylibrary.org/page/10165575
E3 2003: Sam & Max: Freelance Police	Tal	Blevins					IGN	05/12/03	http://www.ign.com/articles/2003/05/13/e3-2003-sam-max-freelance-police
State of the Center Updated at Town Meeting	Denise	Adams					National Aeronautics and Space Administration	08/11/06	http://www.nasa.gov/centers/langley/news/researchernews/rn_townhallmeeting_081106.html
Strategic Selection: Presidential Nomination of Supreme Court Justices from Herbert Hoover through George W. Bush	Christine L.	Nemacheck					University of Virginia Press	05/21/08	https://books.google.com/?id=PhXsGgB_j6EC&pg=PA120&lpg=PA120&dq=party+affiliation+of+Antonin+Scalia&q=party%20affiliation%20of%20Antonin%20Scalia
Swimming at the 1968 Ciudad de México Summer Games: Men's 100 metres Freestyle							Sports Reference		https://www.sports-reference.com/olympics/summer/1968/SWI/mens-100-metres-freestyle.html
WWE (WWF) - FAQ							WrestleView		http://www.wrestleview.com/faq/?article=wwe
Preity Zinta supports prosecution in Bharat Shah case, says she received extortion threat							Press Trust of India	01/09/03	http://expressindia.indianexpress.com/news/fullstory.php?newsid=18272
Rare Replay lets you rewind certain games, has documentary clips	Matt	Leone						06/16/15	http://www.polygon.com/2015/6/16/8788267/rare-replay-rewind-documentary
Don't Say You Love Me	M2M						Amazon.com	10/03/15	https://www.amazon.com/Dont-Say-You-Love-Me/dp/B00004T8XB/ref=sr_1_4?s=music&ie=UTF8&qid=1443423762&sr=1-4&
Atlantis: The Lost Empire	Roger	Ebert						06/15/01	http://rogerebert.suntimes.com/apps/pbcs.dll/article?AID=/20010615/REVIEWS/106150301/1023
The Thing	Roger	Ebert						01/01/82	https://www.rogerebert.com/reviews/the-thing-1982
Central Park									http://www.newyork.ch/central-park/
Muav Limestone							USGS		http://3dparks.wr.usgs.gov/coloradoplateau/lexicon/muav.htm
The X-Files, Season 6								09/22/99	https://itunes.apple.com/gb/tv-season/the-x-files-season-6/id283986520
Battle Record of the USS New Jersey							USS New Jersey Veterans, Inc.		http://www.ussnewjersey.com/hist_awd.htm
Antelopes: Global Survey and Regional Action Plans, Part 3	Rod	East					IUCN		https://books.google.com/books?id=n22ER5vZqTkC&pg=PA170
Circuit-breaker at heart of LOT 767 gear-up landing probe	David	Kaminski-Morrow						12/05/11	http://www.flightglobal.com/news/articles/circuit-breaker-at-heart-of-lot-767-gear-up-landing-probe-365584/
Review: 'Runner Runner' Runs Hot, Cold with Ben Affleck, Justin Timberlake	Betsy	Sharkey					Los Angeles Times Film Critic	10/03/13	http://www.latimes.com/entertainment/movies/moviesnow/la-et-mn-runner-runner-20131004-story.html
Queen distributes Maundy coins							BBC News	04/05/07	http://cdnedge.bbc.co.uk/1/hi/england/manchester/6529795.stm
Heroes of Mana	Justin	Leeper					GameSpy	04/10/07	http://uk.ds.gamespy.com/nintendo-ds/seiken-densetsu-heroes-of-mana/779564p1.html
Alton Towers sold in £622m deal								07/17/07	http://news.bbc.co.uk/2/hi/business/6902797.stm
Sir Tom gets own campus!								08/27/02	http://www.sunderlandecho.com/news/Sir-Tom-gets-own-campus.598289.jp
Kenneth Seymour Robbins								The Sackett Family Association	http://sackettfamily.info/g128/p128863.htm
Director David Robert Mitchell Reveals The 5 Biggest Influences On ‘It Follows’	Drew	Taylor					IndieWire	03/12/15	http://www.indiewire.com/2015/03/director-david-robert-mitchell-reveals-the-5-biggest-influences-on-it-follows-266346/
LADEE	Jessica	Culler							http://www.nasa.gov/mission_pages/ladee/main/#.VXCc0vBdiM8